InfoRes,Knowledge Level,Status
infores:icd9cm-umls,curated,released
infores:icees-kg,correlation,released
infores:idisk,curated,released
infores:improving-agent,predicted,released
infores:indigo-reasoner,curated,deprecated
infores:ino,curated,released
infores:intact,curated,released
infores:interactome-ccsb,curated,released
infores:interpro,curated,released
infores:inxight-drugs,curated,released
infores:iproclass,curated,released
infores:irefindex,curated,released
infores:isb-incov,curated,released
infores:isb-wellness,curated,released
infores:kegg,curated,released
infores:kgea,curated,released
infores:kinomescan,raw_data,released
infores:knowledge-collaboratory,curated,released
infores:life-science-resource-registry,curated,released
infores:lincs,curated,released
infores:linkedspl,curated,deprecated
infores:litvar,curated,released
infores:loinc,curated,released
infores:loinc-umls,curated,released
infores:mp,curated,released
infores:maxo,curated,released
infores:meddra-umls,curated,released
infores:medgen,curated,released
infores:medlineplus,curated,released
infores:medrt-umls,curated,released
infores:mesh,curated,released
infores:metacyc,curated,released
infores:emapa,curated,released
infores:mgi,curated,released
infores:mpath,curated,released
infores:mi,curated,released
infores:mirbase,curated,released
infores:mirgate,curated,released
infores:molepro,curated,released
infores:monarch-data,curated,deprecated
infores:monarch-ontology,not_provided,deprecated
infores:monarchinitiative,curated,released
infores:mondo,curated,released
infores:mop,curated,released
infores:mousemine,curated,released
infores:msigdb,curated,released
infores:mychem-info,curated,released
infores:mydisease-info,curated,released
infores:mygene-info,curated,released
infores:myvariant-info,curated,released
infores:nanopublications,curated,released
infores:nbo,curated,released
infores:ncats-ars,curated,released
infores:ncbi-gene,curated,released
infores:ncbi-taxon,curated,released
infores:ncbi-taxonomy,curated,released
infores:ncdeq-cafo-exposures-data,curated,deprecated
infores:ncdeq-landfill-exposures-data,curated,deprecated
infores:nces-schools-exposure-data,curated,released
infores:ncit,curated,released
infores:ndcd,curated,released
infores:nddf-umls,Not Available,deprecated
infores:ndex,curated,released
infores:ndfrt,curated,released
infores:nexo-align,curated,released
infores:nexo-construct,curated,released
infores:niehs-epr-study-datae,curated,deprecated
infores:nsides,curated,released
infores:ols,curated,released
infores:omicsdi,curated,released
infores:omim,curated,released
infores:omnicorp,curated,released
infores:omop-cdm,curated,released
infores:omop-ohdsi-api,curated,released
infores:open-targets,curated,released
infores:openpredict,predicted,released
infores:ordo,curated,released
infores:orphanet,curated,released
infores:owlsim,curated,released
infores:oxo,curated,released
infores:panther,curated,released
infores:path-pheno-db,curated,released
infores:pathway-commons,curated,released
infores:pathwhiz,curated,released
infores:pato,curated,released
infores:phenio,curated,released
infores:patric,curated,released
infores:pgxmine,curated,released
infores:pdsp,not_provided,released
infores:pdq-umls,curated,released
infores:pfam,curated,released
infores:pharmacotherapydb,curated,released
infores:pharmgkb,curated,released
infores:pharos,curated,released
infores:pr,curated,released
infores:prefixcommons,curated,deprecated
infores:preppi,predicted,released
infores:probe-miner,correlation,released
infores:psy-umls,curated,released
infores:pubchem,curated,released
infores:pubmed,curated,released
infores:pubmed-central,curated,released
infores:quickgo,curated,released
infores:reactome,curated,released
infores:renci-bionames,curated,released
infores:repodb,curated,released
infores:rgd,curated,released
infores:ro,curated,released
infores:robokop,curated,released
infores:robokop-kg,curated,Not Available
infores:robokop-kp,curated,released
infores:robokp-ranker,curated,released
infores:rtx-kg2,curated,released
infores:rxnorm,curated,released
infores:sabio-rk,curated,released
infores:scibite,text_mined,released
infores:semmeddb,text_mined,released
infores:sgd,curated,released
infores:sider,curated,released
infores:smart-api,curated,Not Available
infores:smartapi,curated,released
infores:smpdb,curated,released
infores:snomedct,curated,released
infores:snpeff,prediction,released
infores:so,curated,released
infores:spoke,curated,released
infores:sri-edge-normalization-service,curated,deprecated
infores:sri-name-resolver,curated,released
infores:sri-node-normalizer,curated,released
infores:sri-ontology,curated,released
infores:sri-reference-kg,curated,released
infores:sri-semmeddb,curated,deprecated
infores:startgeo,curated,released
infores:stitch,curated,released
infores:strider,curated,deprecated
infores:string,curated,released
infores:symp,curated,released
infores:tcga,curated,released
infores:tcrd,curated,released
infores:tiga,curated,released
infores:textmining-kp,text_mined,Not Available
infores:text-mining-provider-cooccurrence,text_mined,released
infores:text-mining-provider-targeted,text_mined,released
infores:tissues-expression-db,curated,released
infores:topmed,curated,released
infores:ttd,curated,released
infores:uberon,curated,released
infores:umls,curated,released
infores:umls-metathesaurus,curated,released
infores:unc-cdwh-ehr-data,curated,released
infores:unichem,curated,released
infores:uniprot,curated,released
infores:uniref,curated,released
infores:unsecret-agent,predicted,released
infores:us-census-acs-data,curated,released
infores:us-census-tiger-roadway-exposures-data,curated,released
infores:us-dot-roadway-exposures-data,curated,released
infores:us-epa-airborne-pollutant-exposures-data,curated,deprecated
infores:upheno,curated,released
infores:vandf-umls,curated,released
infores:wikidata,curated,released
infores:wikidata-garbanzo,curated,released
infores:wikipathways,curated,released
infores:xpo,curated,released
infores:workflow-runner,curated,released
infores:wormbase,curated,released
infores:zfa,curated,released
infores:zfin,curated,released
infores:ddinter,curated,released
infores:ki-database,curated,released
infores:community-sar,curated,released
infores:drug-design,curated,released
infores:aeolus,curated,released
infores:regl,curated,released
infores:huri,curated,released
infores:zp,curated,released
infores:flybase,curated,released
infores:xenbase,curated,released
infores:biothings-rare-source,curated,released
infores:rare-source,curated,released
infores:sri-answer-appraiser,curated,released
infores:sri-clinical-evidence-score,curated,released
infores:sri-confidence-score,curated,released
infores:sri-novelty-score,curated,released
infores:translator-f-score,curated,released
infores:biothings-suppkg,curated,released
infores:suppkg,text_mined,released
infores:biothings-ddinter,curated,released
infores:biothings-gtrx,curated,released
infores:biothings-ttd,curated,released
infores:rampdb,curated,released
